Project.Name,Address,Transacted Price,Price (psf),Date,Property.Type,Completion Year,Type.of.Sale,Postal.District,year,Level,TenureType_Ind,maxLevel,Nearest Sch,Distance_Sch,Nearest Stn,Distance_Stn,ENBLOC,Avg area sqf,Dist_Sch_Label
N.A.,26 COTSWOLD CLOSE,5999000,1354,18/7/2019,Detached House,2021,Resale,13,2019,1,Freehold,188,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,0.831293023,LORONG CHUAN MRT STATION,0.60124266,0,4430.46,1
N.A.,410M PASIR PANJANG ROAD,3100000,1644,18/7/2019,Terrace House,2021,Resale,5,2019,1,Freehold,188,FAIRFIELD METHODIST SCHOOL (PRIMARY),1.942842421,KENT RIDGE MRT STATION,1.658559551,0,1885.85,2
N.A.,197 ENG KONG GARDEN,4500000,1222,18/7/2019,Semi-Detached House,2021,Resale,21,2019,1,Freehold,188,PEI HWA PRESBYTERIAN PRIMARY SCHOOL,1.159450759,BEAUTY WORLD MRT STATION,1.336691231,0,3683.44,2
WELLINGTON PARK,143 ELLINGTON SQUARE,2700000,1452,19/7/2019,Terrace House,1985,Resale,20,2019,1,Freehold,1,CHIJ SAINT NICHOLAS GIRLS' SCHOOL,0.230053287,MAYFLOWER MRT STATION,0.24427661,0,1860.02,1
MACPHERSON GARDEN ESTATE,79 JALAN GEMBIRA,1680000,1698,19/7/2019,Terrace House,2020,Resale,13,2019,1,Freehold,1,MARIS STELLA HIGH SCHOOL,1.116276211,MATTAR MRT STATION,0.670360426,0,989.21,2
SERANGOON GARDEN ESTATE,18 CHISELHURST GROVE,2680000,1015,19/7/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.618760375,LORONG CHUAN MRT STATION,0.865992445,0,2640.41,2
SERANGOON GARDEN ESTATE,18 CHISELHURST GROVE,5288800,2003,7/9/2021,Terrace House,2022,Resale,19,2021,1,999-yr,1,KUO CHUAN PRESBYTERIAN PRIMARY SCHOOL,1.618760375,LORONG CHUAN MRT STATION,0.865992445,0,2640.41,2
OPERA ESTATE,22 MARIA AVENUE,2050000,965,19/7/2019,Terrace House,2022,Resale,15,2019,1,Freehold,1,YU NENG PRIMARY SCHOOL,1.86041434,KEMBANGAN MRT STATION,0.961343252,0,2123.74,2
THOMSON RIDGE ESTATE,122 THOMSON RIDGE,4850122,1516,19/7/2019,Semi-Detached House,1995,Resale,20,2019,1,Freehold,1,AI TONG SCHOOL,0.960851642,UPPER THOMSON MRT STATION,0.284092116,0,3199.06,1
N.A.,99 MACPHERSON ROAD,2020000,1346,19/7/2019,Terrace House,2021,Resale,13,2019,1,Freehold,188,MARIS STELLA HIGH SCHOOL,1.605531208,POTONG PASIR MRT STATION,0.392271913,0,1500.5,2
FRANKEL ESTATE,645 EAST COAST ROAD,8880000,1099,19/7/2019,Detached House,2021,Resale,15,2019,1,Freehold,1,TAO NAN SCHOOL,1.079419795,MARINE TERRACE MRT STATION,0.683747682,0,8078.38,2
N.A.,26 LINDEN DRIVE,13000000,1243,19/7/2019,Detached House,2021,Resale,11,2019,1,Freehold,188,RAFFLES GIRLS' PRIMARY SCHOOL,0.679234845,SIXTH AVENUE MRT STATION,0.638111727,0,10456.15,1
SERANGOON GARDEN ESTATE,41 BRIDPORT AVENUE,3368000,1139,19/7/2019,Terrace House,2022,Resale,19,2019,1,999-yr,1,ROSYTH SCHOOL,1.368969888,ANG MO KIO MRT STATION,1.666179033,0,2955.79,2
